hora,hS,hE,hI,hR,vS,vI,mosq_total
2296,139721,81,119,79,454575,365,454940
2300,139721,83,118,78,451973,379,452352
2304,139721,84,118,77,450754,389,451143
2308,139718,87,118,77,450387,395,450782
2312,139718,87,119,76,450594,406,451000
2316,139719,87,118,76,453182,388,453570
2320,139719,87,118,76,454536,388,454924
2324,139719,87,118,76,452012,393,452405
2328,139716,90,116,78,450661,395,451056
2332,139718,88,117,77,450442,403,450845
2336,139718,88,119,75,450488,398,450886
2340,139716,89,119,76,453103,385,453488
2344,139716,89,119,76,454534,385,454919
2348,139714,90,117,79,451953,390,452343
2352,139714,91,116,79,450565,373,450938
2356,139713,88,118,81,450527,363,450890
2360,139713,90,115,82,450463,366,450829
2364,139713,90,115,82,453057,353,453410
2368,139713,90,115,82,454576,353,454929
2372,139712,93,114,81,451991,374,452365
2376,139714,94,110,82,450705,357,451062
2380,139715,92,112,81,450478,341,450819
2384,139710,95,111,84,450478,336,450814
2388,139710,94,112,84,453173,321,453494
2392,139710,94,112,84,454600,321,454921
2396,139710,94,111,85,451916,327,452243
2400,139707,96,111,86,450713,326,451039
2404,139705,96,109,90,450549,321,450870
2408,139705,94,109,92,450498,323,450821
2412,139705,94,110,91,453184,318,453502
2416,139705,94,110,91,454624,318,454942
2420,139703,95,109,93,452046,321,452367
2424,139703,95,107,95,450780,328,451108
2428,139705,94,103,98,450410,319,450729
2432,139707,93,102,98,450297,334,450631
2436,139708,90,105,97,453129,326,453455
2440,139708,90,105,97,454603,326,454929
2444,139709,92,103,96,452102,322,452424
2448,139713,90,105,92,450675,330,451005
2452,139717,89,107,87,450437,334,450771
2456,139716,86,107,91,450439,325,450764
2460,139715,86,107,92,453183,320,453503
2464,139715,86,107,92,454607,320,454927
2468,139714,87,108,91,452008,325,452333
2472,139715,85,112,88,450749,329,451078
2476,139716,83,112,89,450526,329,450855
2480,139716,84,109,91,450632,333,450965
2484,139716,82,111,91,453211,321,453532
2488,139716,82,111,91,454629,321,454950
2492,139715,85,108,92,452009,334,452343
2496,139714,88,108,90,450729,333,451062
2500,139714,85,110,91,450541,337,450878
2504,139712,84,113,91,450475,339,450814
2508,139714,84,113,89,453156,326,453482
2512,139714,84,113,89,454619,326,454945
2516,139715,84,111,90,452009,335,452344
2520,139717,81,110,92,450779,328,451107
2524,139719,80,111,90,450449,323,450772
2528,139720,78,114,88,450501,318,450819
2532,139721,79,114,86,453141,308,453449
2536,139721,79,114,86,454622,308,454930
2540,139720,79,116,85,452008,311,452319
2544,139721,77,119,83,450852,315,451167
2548,139720,75,124,81,450540,315,450855
2552,139720,74,125,81,450482,324,450806
2556,139720,75,125,80,453073,312,453385
2560,139720,75,125,80,454628,312,454940
2564,139721,74,124,81,452052,329,452381
2568,139722,72,126,80,450796,332,451128
2572,139722,73,126,79,450507,350,450857
2576,139722,71,125,82,450374,356,450730
2580,139723,69,127,81,453180,351,453531
2584,139723,69,127,81,454564,351,454915
2588,139726,67,128,79,451934,368,452302
2592,139727,66,128,79,450641,371,451012
2596,139725,69,129,77,450539,375,450914
2600,139727,68,130,75,450545,369,450914
2604,139727,68,130,75,453125,362,453487
2608,139727,68,130,75,454553,362,454915
2612,139726,67,132,75,452076,368,452444
2616,139727,69,131,73,450690,370,451060
2620,139725,71,130,74,450561,381,450942
2624,139726,68,133,73,450475,371,450846
2628,139726,68,132,74,453087,371,453458
2632,139726,68,132,74,454558,371,454929
2636,139727,68,128,77,451903,392,452295
2640,139726,67,131,76,450684,386,451070
2644,139725,70,130,75,450420,386,450806
2648,139723,74,128,75,450317,382,450699
2652,139723,73,127,77,453131,371,453502
2656,139723,73,127,77,454559,371,454930
2660,139721,75,129,75,452031,370,452401
2664,139721,77,127,75,450759,374,451133
2668,139724,79,126,71,450497,371,450868
2672,139721,84,126,69,450487,371,450858
2676,139721,84,126,69,453177,354,453531
2680,139721,84,126,69,454579,354,454933
2684,139723,82,127,68,451943,369,452312
2688,139724,81,128,67,450758,372,451130
2692,139721,83,126,70,450555,368,450923
2696,139723,84,124,69,450351,363,450714
2700,139724,83,124,69,453165,359,453524
2704,139724,83,124,69,454559,359,454918
2708,139725,80,126,69,451959,367,452326
2712,139722,81,127,70,450750,382,451132
2716,139723,82,124,71,450519,385,450904
2720,139724,83,126,67,450363,385,450748
2724,139723,84,126,67,453101,381,453482
2728,139723,84,126,67,454561,381,454942
2732,139724,83,129,64,451942,388,452330
2736,139723,81,133,63,450695,392,451087
2740,139721,84,130,65,450536,388,450924
2744,139721,82,131,66,450590,402,450992
2748,139721,82,130,67,453047,387,453434
2752,139721,82,130,67,454551,387,454938
2756,139723,82,131,64,451828,404,452232
2760,139727,82,130,61,450763,398,451161
2764,139725,84,128,63,450504,382,450886
2768,139722,86,127,65,450405,386,450791
2772,139721,86,127,66,453202,372,453574
2776,139721,86,127,66,454586,372,454958
2780,139721,84,128,67,451973,382,452355
2784,139716,88,129,67,450682,387,451069
2788,139716,85,130,69,450393,382,450775
2792,139712,89,128,71,450516,363,450879
2796,139710,90,126,74,453041,355,453396
2800,139710,90,126,74,454583,355,454938
2804,139710,92,126,72,452069,359,452428
2808,139708,94,124,74,450654,365,451019
2812,139706,95,124,75,450463,361,450824
2816,139707,97,121,75,450378,356,450734
2820,139707,97,120,76,453139,348,453487
2824,139707,97,120,76,454587,348,454935
2828,139707,98,118,77,452015,360,452375
2832,139706,100,115,79,450748,352,451100
2836,139704,98,116,82,450532,342,450874
2840,139702,100,116,82,450385,339,450724
2844,139702,100,114,84,453125,329,453454
2848,139702,100,114,84,454592,329,454921
2852,139702,99,116,83,451992,330,452322
2856,139700,101,118,81,450856,318,451174
2860,139700,100,118,82,450579,331,450910
2864,139700,100,116,84,450571,330,450901
2868,139700,101,116,83,453180,322,453502
2872,139700,101,116,83,454588,322,454910
2876,139703,102,115,80,452002,336,452338
2880,139704,99,114,83,450622,342,450964
2884,139705,96,118,81,450632,329,450961
2888,139706,93,119,82,450370,325,450695
2892,139708,93,119,80,453177,323,453500
2896,139708,93,119,80,454610,323,454933
2900,139708,89,121,82,452075,346,452421
2904,139708,89,120,83,450761,346,451107
2908,139707,89,118,86,450611,338,450949
2912,139706,85,123,86,450428,336,450764
2916,139705,86,123,86,453152,325,453477
2920,139705,86,123,86,454589,325,454914
2924,139706,86,122,86,452089,333,452422
2928,139704,88,119,89,450747,334,451081
2932,139705,87,121,87,450482,323,450805
2936,139706,87,120,87,450615,331,450946
2940,139707,87,118,88,453171,321,453492
2944,139707,87,118,88,454623,321,454944
2948,139707,88,116,89,452039,331,452370
